	B4GALT5	DYNC1I2	PARD6B	YWHAB	ACVR1	VPS4B	MAP4K3	ITGB1	CTTNBP2NL	ADAM10	PIGS	ARHGEF18	IQGAP1	MARK2	MOB3B	PFKFB3	CCDC92	RAB11A	ZBTB4	APOC1	AMBP	APOC2	SLC22A3	RBP4	PROC	MGMT	ITIH1	GAMT	ASGR1	APOC3	MASP2	PEBP1	SLC27A5	GSTO1	APOH	TST	MLXIPL	ECHS1
MOB3B	0.658152064	0.561326101	0.561326101	0.476519012	0.619047205	0.382906254	0.671788213	0.65636748	0.733543909	0.538707367	0.654175298	0.57517737	0.710221467	0.547540083	1	0.608206316	0.319907324	0.406528628	0.557505069	-0.259030578	-0.236096663	-0.128065159	-0.366920992	-0.266360865	-0.229198698	-0.230236051	-0.139615436	-0.128065159	-0.265019914	-0.174827606	-0.295317586	-0.193708603	-0.222098911	-0.21890566	-0.213183674	-0.202996324	-0.071020881	-0.244625237
PFKFB3	0.757540173	0.759358414	0.759358414	0.602230873	0.654175298	0.421461942	0.656404588	0.25280164	0.693201748	0.150914572	0.421461942	0.512012625	0.32463672	0.507702244	0.608206316	1	0.276950478	0.519728987	0.684393207	-0.310949002	-0.304246398	-0.203492356	-0.230236051	-0.139615436	-0.128065159	-0.265019914	-0.174827606	-0.295317586	-0.296491223	-0.245591392	-0.307858629	-0.276726297	-0.227095375	-0.267005035	-0.299740021	-0.23752362	-0.280444525	-0.231605802
CCDC92	0.379272736	0.437610371	0.342918723	0.506694038	0.449027374	0.419070755	0.435146948	0.425324369	0.330290577	0.401341252	0.421461942	0.512012625	0.32463672	0.507702244	0.319907324	0.276950478	1	0.46599349	0.512078808	-0.167481325	-0.112917974	-0.240527654	-0.28620822	-0.261864038	-0.2286431	-0.296491223	-0.245591392	-0.307858629	0.08225449	-0.090748606	-0.130900124	0.09263292	-0.174827606	-0.295317586	-0.104406257	0.012965838	0.0622669	0.02101119
RAB11A	0.653974154	0.743104692	0.64329901	0.760366427	0.693383198	0.57460921	0.711795908	0.65924517	0.688671075	0.778525089	0.656404588	0.624115501	0.66903494	0.71074164	0.406528628	0.519728987	0.46599349	1	0.625665589	-0.297470457	-0.211894061	-0.128065159	-0.296491223	-0.157247533	-0.167041928	-0.103859232	-0.198124412	-0.191273401	-0.11361788	-0.218946738	-0.232289748	-0.062211998	-0.245591392	-0.307858629	-0.195512003	-0.07551543	-0.103399807	-0.158368202
ZBTB4	0.662711537	0.761793921	0.571230085	0.62196958	0.708513406	0.603103893	0.714078116	0.710436599	0.744877111	0.676637022	0.693201748	0.657997487	0.796581724	0.661863549	0.557505069	0.684393207	0.512078808	0.625665589	1	-0.108768194	-0.341442448	0.278009594	0.002370911	0.221569453	-0.016740475	0.003863165	-0.096553003	-0.001051636	-0.06410536	-0.257107244	-0.279082298	-0.212772838	-0.218946738	-0.232289748	-0.295307161	-0.219200096	-0.187818145	-0.173099155
APOC1	0.778525089	0.656404588	0.624115501	0.66903494	0.71074164	0.406528628	0.04270721	0.309749436	0.054145303	0.225636483	0.150914572	0.120804918	0.184432716	0.241661895	0.103012826	0.155009919	-0.00019707	0.100878891	0.56276455	1	0.599304875	0.393895049	0.08225449	0.054145303	0.225636483	0.150914572	0.120804918	0.225636483	0.150914572	0.054145303	0.225636483	0.150914572	0.120804918	0.184432716	0.241661895	0.103012826	0.155009919	-0.00019707
AMBP	0.770678324	0.759358414	0.141571842	0.091236111	0.274159483	0.103357985	0.308314543	0.26276455	0.213938195	0.24572181	0.12951605	0.199443802	0.188028789	0.088829128	0.278009594	0.163154059	0.002370911	0.221569453	0.08225449	0.599304875	1	0.242739334	0.075670957	0.054145303	0.225636483	0.150914572	0.494353617	0.50730354	0.276214928	-0.123001127	0.000319476	0.061814836	-0.052172177	0.008695477	0.08225449	-0.090748606	-0.130900124	-0.024183469
APOC2	0.676637022	0.693201748	0.657997487	0.796581724	0.661863549	0.557505069	-0.203168811	-0.016740475	0.003863165	-0.096553003	-0.142160453	-0.108768194	-0.276286941	-0.001051636	-0.06410536	-0.0254126	-0.086379408	-0.151011447	-0.128582443	0.393895049	0.242739334	1	-0.045755837	0.494353617	0.50730354	0.276214928	0.344734825	0.494353617	0.50730354	0.003863165	-0.096553003	-0.142160453	-0.108768194	0.50730354	0.276214928	-0.06410536	-0.0254126	-0.086379408
SLC22A3	-0.054725519	0.086598916	-0.04219024	0.063645401	0.150197831	0.16951871	0.068379044	0.107706954	-0.068208812	0.068961805	-0.009734056	0.089381073	-0.066409585	0.003963064	-0.073898522	-0.128483649	0.156352417	0.045124368	0.041213421	-0.009466193	0.075670957	-0.045755837	1	0.080046791	0.252473014	0.083467198	0.226467134	0.03150054	0.62140385	0.555384146	0.612386911	0.625150281	0.344734825	0.494353617	0.50730354	0.276214928	0.11174863	0.143375355
RBP4	-0.255128515	-0.228418296	-0.244084895	-0.185294348	-0.273615764	0.020937264	-0.24686944	-0.128892098	-0.261139774	-0.21565526	-0.342313575	-0.253212763	-0.290129274	-0.342798412	-0.266360865	-0.281583729	-0.123001127	-0.157247533	-0.256708872	0.424478184	0.504470589	0.220620415	0.080046791	1	0.450738194	0.304682421	0.4001669	0.257025679	0.307715539	0.62140385	0.555384146	0.612386911	0.625150281	0.344734825	0.494353617	0.50730354	0.276214928	0.63414129
